"distrito","concelho","freguesia","id","pop"
"'01'","'01'","'01'","Aveiro",714197
"'01'","'0101'","'0101'","Águeda",47729
"'01'","'0101'","'010103'","Aguada de Cima",4013
"'01'","'0101'","'010109'","Fermentelos",3258
"'01'","'0101'","'010112'","Macinhata do Vouga",3406
"'01'","'0101'","'010119'","Valongo do Vouga",4877
"'01'","'0101'","'010121'","União das freguesias de Águeda e Borralha",13576
"'01'","'0101'","'010122'","União das freguesias de Barrô e Aguada de Baixo",3209
"'01'","'0101'","'010123'","União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão",1611
"'01'","'0101'","'010124'","União das freguesias de Recardães e Espinhel",6036
"'01'","'0101'","'010125'","União das freguesias de Travassô e Óis da Ribeira",2305
"'01'","'0101'","'010126'","União das freguesias de Trofa, Segadães e Lamas do Vouga",4630
"'01'","'0101'","'010127'","União das freguesias do Préstimo e Macieira de Alcoba",808
"'01'","'0102'","'0102'","Albergaria-a-Velha",25252
"'01'","'0102'","'010202'","Alquerubim",2381
"'01'","'0102'","'010203'","Angeja",2073
"'01'","'0102'","'010204'","Branca",5621
"'01'","'0102'","'010206'","Ribeira de Fráguas",1713
"'01'","'0102'","'010209'","Albergaria-a-Velha e Valmaior",10568
"'01'","'0102'","'010210'","São João de Loure e Frossos",2896
"'01'","'0103'","'0103'","Anadia",29150
"'01'","'0103'","'010304'","Avelãs de Caminho",1252
"'01'","'0103'","'010305'","Avelãs de Cima",2185
"'01'","'0103'","'010307'","Moita",2484
"'01'","'0103'","'010309'","Sangalhos",4068
"'01'","'0103'","'010310'","São Lourenço do Bairro",2414
"'01'","'0103'","'010312'","Vila Nova de Monsarros",1713
"'01'","'0103'","'010313'","Vilarinho do Bairro",2764
"'01'","'0103'","'010316'","União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas",2675
"'01'","'0103'","'010317'","União das freguesias de Arcos e Mogofores",6331
"'01'","'0103'","'010318'","União das freguesias de Tamengos, Aguim e Óis do Bairro",3264
"'01'","'0104'","'0104'","Arouca",22359
"'01'","'0104'","'010402'","Alvarenga",1223
"'01'","'0104'","'010407'","Chave",1253
"'01'","'0104'","'010409'","Escariz",2222
"'01'","'0104'","'010411'","Fermedo",1340
"'01'","'0104'","'010413'","Mansores",1081
"'01'","'0104'","'010414'","Moldes",1257
"'01'","'0104'","'010415'","Rossas",1599
"'01'","'0104'","'010416'","Santa Eulália",2253
"'01'","'0104'","'010417'","São Miguel do Mato",598
"'01'","'0104'","'010418'","Tropeço",1150
